title,author,url,description,subjects,categories,avg_rating,ratings_count,publisher,published_date,page_count,isbn10,isbn13,language,description_long,unique_id
carmilla,joseph sheridan le fanu,https://www.gutenberg.org/ebooks/10007,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,carmillajoseph sheridan le fanu,,,-4690230592785209920
the hound of the baskervilles,arthur conan doyle,https://www.gutenberg.org/ebooks/2852,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the hound of the baskervillesarthur conan doyle,,,7494576379255614384
the kama sutra of vatsyayana,vatsyayana,https://www.gutenberg.org/ebooks/27827,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the kama sutra of vatsyayanavatsyayana,,,-481134007666921511
oliver twist,charles dickens,https://www.gutenberg.org/ebooks/730,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,oliver twistcharles dickens,,,6852943165800229270
peter pan   peter and wendy,j m barrie,https://www.gutenberg.org/ebooks/16,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,peter pan   peter and wendyj m barrie,,,5555140522644174470
the romance of lust a classic victorian erotic novel,anonymous,https://www.gutenberg.org/ebooks/30254,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the romance of lust a classic victorian erotic novelanonymous,,,4640949081737821010
meditations,emperor of rome marcus aurelius,https://www.gutenberg.org/ebooks/2680,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,meditationsemperor of rome marcus aurelius,,,-3951840782486604950
the ethics of aristotle,aristotle,https://www.gutenberg.org/ebooks/8438,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the ethics of aristotlearistotle,,,6693561784204526780
gullivers travels into several remote nations of the world,jonathan swift,https://www.gutenberg.org/ebooks/829,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,gullivers travels into several remote nations of the worldjonathan swift,,,-7566222937207472280
anna karenina,graf leo tolstoy,https://www.gutenberg.org/ebooks/1399,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,anna kareninagraf leo tolstoy,,,998741528198983639
dubliners,james joyce,https://www.gutenberg.org/ebooks/2814,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,dublinersjames joyce,,,-8931011945386251414
les misrables,victor hugo,https://www.gutenberg.org/ebooks/135,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,les misrablesvictor hugo,,,-3110755304442461435
the best short stories of 1918 and the yearbook of the american short story,unknown,https://www.gutenberg.org/ebooks/39635,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the best short stories of 1918 and the yearbook of the american short storyunknown,,,5344226186518084826
the king james version of the bible,unknown,https://www.gutenberg.org/ebooks/10,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the king james version of the bibleunknown,,,7356026638045370464
sense and sensibility,jane austen,https://www.gutenberg.org/ebooks/161,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,sense and sensibilityjane austen,,,-5114136007082946549
golden days for boys and girls vol xii jan 3 1891,various,https://www.gutenberg.org/ebooks/17199,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,golden days for boys and girls vol xii jan 3 1891various,,,-8778109847156836833
autobiography of benjamin franklin,benjamin franklin,https://www.gutenberg.org/ebooks/20203,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,autobiography of benjamin franklinbenjamin franklin,,,4141575658790863980
heart of darkness,joseph conrad,https://www.gutenberg.org/ebooks/219,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,heart of darknessjoseph conrad,,,-4120141156802499588
der struwwelpeter german,heinrich hoffmann,https://www.gutenberg.org/ebooks/24571,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,der struwwelpeter germanheinrich hoffmann,,,7222550228527025097
don quixote,miguel de cervantes saavedra,https://www.gutenberg.org/ebooks/996,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,don quixotemiguel de cervantes saavedra,,,2548175562789543604
little women,louisa may alcott,https://www.gutenberg.org/ebooks/514,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,little womenlouisa may alcott,,,-4841257088599865288
moby multiple language lists of common words,grady ward,https://www.gutenberg.org/ebooks/3206,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,moby multiple language lists of common wordsgrady ward,,,1258777625804171359
noli me tangere tagalog,jos rizal,https://www.gutenberg.org/ebooks/20228,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,noli me tangere tagalogjos rizal,,,-3972366573760018440
symposium,plato,https://www.gutenberg.org/ebooks/1600,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,symposiumplato,,,8285555365230456976
le morte darthur volume 1,sir thomas malory,https://www.gutenberg.org/ebooks/1251,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,le morte darthur volume 1sir thomas malory,,,2156448870517147397
an inquiry into the nature and causes of the wealth of nations,adam smith,https://www.gutenberg.org/ebooks/3300,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,an inquiry into the nature and causes of the wealth of nationsadam smith,,,-812372387743263122
democracy in america  volume 1,alexis de tocqueville,https://www.gutenberg.org/ebooks/815,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,democracy in america  volume 1alexis de tocqueville,,,-5228067794661608308
calculus made easy,silvanus p thompson,https://www.gutenberg.org/ebooks/33283,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,calculus made easysilvanus p thompson,,,-1831164521002349501
the critique of pure reason,immanuel kant,https://www.gutenberg.org/ebooks/4280,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the critique of pure reasonimmanuel kant,,,-423609452283313612
the reign of greed,jos rizal,https://www.gutenberg.org/ebooks/10676,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the reign of greedjos rizal,,,-583778209897925337
spensers the faerie queene book i,edmund spenser,https://www.gutenberg.org/ebooks/15272,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,spensers the faerie queene book iedmund spenser,,,-6012049866904048918
a study in scarlet,arthur conan doyle,https://www.gutenberg.org/ebooks/244,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a study in scarletarthur conan doyle,,,-6650859843440463325
paradise lost,john milton,https://www.gutenberg.org/ebooks/26,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,paradise lostjohn milton,,,-7416336410401113326
hamlet,william shakespeare,https://www.gutenberg.org/ebooks/1524,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,hamletwilliam shakespeare,,,-5829116033372111043
through the lookingglass,lewis carroll,https://www.gutenberg.org/ebooks/12,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,through the lookingglasslewis carroll,,,1010985854192487726
emma,jane austen,https://www.gutenberg.org/ebooks/158,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,emmajane austen,,,6164462074338288406
an essay concerning humane understanding volume 1,john locke,https://www.gutenberg.org/ebooks/10615,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,an essay concerning humane understanding volume 1john locke,,,4499367845939335431
oedipus king of thebes,sophocles,https://www.gutenberg.org/ebooks/27673,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,oedipus king of thebessophocles,,,7728106588468525014
how the other half lives studies among the tenements of new york,jacob a riis,https://www.gutenberg.org/ebooks/45502,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,how the other half lives studies among the tenements of new yorkjacob a riis,,,3844578565759003796
the genealogy of morals,friedrich wilhelm nietzsche,https://www.gutenberg.org/ebooks/52319,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the genealogy of moralsfriedrich wilhelm nietzsche,,,2853904297187957476
the life and adventures of robinson crusoe,daniel defoe,https://www.gutenberg.org/ebooks/521,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the life and adventures of robinson crusoedaniel defoe,,,7382894888261163089
a portrait of the artist as a young man,james joyce,https://www.gutenberg.org/ebooks/4217,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,a portrait of the artist as a young manjames joyce,,,-1028797946930843646
david copperfield,charles dickens,https://www.gutenberg.org/ebooks/766,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,david copperfieldcharles dickens,,,8767920849511555456
 chinese,mei yuan,https://www.gutenberg.org/ebooks/52206,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,, chinesemei yuan,,,-806369966482375804
incidents in the life of a slave girl written by herself,harriet a jacobs,https://www.gutenberg.org/ebooks/11030,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,incidents in the life of a slave girl written by herselfharriet a jacobs,,,-1238699127308191433
hedda gabler,henrik ibsen,https://www.gutenberg.org/ebooks/4093,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,hedda gablerhenrik ibsen,,,-4785029785869806177
the mahabharata of krishnadwaipayana vyasa volume 1,unknown,https://www.gutenberg.org/ebooks/15474,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the mahabharata of krishnadwaipayana vyasa volume 1unknown,,,5064595668372952261
the philippines a century hence,jos rizal,https://www.gutenberg.org/ebooks/35899,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the philippines a century hencejos rizal,,,4914629824221560605
faust part 1 translated into english in the original metres,johann wolfgang von goethe,https://www.gutenberg.org/ebooks/14591,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,faust part 1 translated into english in the original metresjohann wolfgang von goethe,,,-3881504076432903341
the history of the peloponnesian war,thucydides,https://www.gutenberg.org/ebooks/7142,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the history of the peloponnesian warthucydides,,,7997973170510771099
lysistrata,aristophanes,https://www.gutenberg.org/ebooks/7700,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,lysistrataaristophanes,,,-2248437113906412887
dont marry or advice on how when and who to marry,james w donovan,https://www.gutenberg.org/ebooks/53368,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,dont marry or advice on how when and who to marryjames w donovan,,,7230246797083376835
the war of the worlds,h g wells,https://www.gutenberg.org/ebooks/36,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the war of the worldsh g wells,,,-8399291656530647415
winniethepooh,a a milne,https://www.gutenberg.org/ebooks/67098,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,winniethepooha a milne,,,-7148589117864235448
the metamorphoses of ovid books ivii,ovid,https://www.gutenberg.org/ebooks/21765,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the metamorphoses of ovid books iviiovid,,,-571667477163333471
candide,voltaire,https://www.gutenberg.org/ebooks/19942,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,candidevoltaire,,,-7628964448399966895
 chinese,shizhen wang,https://www.gutenberg.org/ebooks/25162,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,, chineseshizhen wang,,,-4722926987597845731
project gutenberg compilation of short stories by chekhov,anton pavlovich chekhov,https://www.gutenberg.org/ebooks/57333,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,project gutenberg compilation of short stories by chekhovanton pavlovich chekhov,,,-3737854215455411878
notes from the underground,fyodor dostoyevsky,https://www.gutenberg.org/ebooks/600,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,notes from the undergroundfyodor dostoyevsky,,,675716974792642721
the jungle book,rudyard kipling,https://www.gutenberg.org/ebooks/236,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the jungle bookrudyard kipling,,,7468679382317772885
novo dicionrio da lngua portuguesa portuguese,cndido de figueiredo,https://www.gutenberg.org/ebooks/31552,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,novo dicionrio da lngua portuguesa portuguesecndido de figueiredo,,,-5241547479442323720
the time machine,h g wells,https://www.gutenberg.org/ebooks/35,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,the time machineh g wells,,,4596486483879499413
les misrables tome i fantine french,victor hugo,https://www.gutenberg.org/ebooks/17489,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,les misrables tome i fantine frenchvictor hugo,,,1536105577535541065
les mille et une nuits tome premier french,unknown,https://www.gutenberg.org/ebooks/26296,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,les mille et une nuits tome premier frenchunknown,,,-5236090806519547755
fifteen thousand useful phrases,grenville kleiser,https://www.gutenberg.org/ebooks/26225,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,fifteen thousand useful phrasesgrenville kleiser,,,-1654036350253102205
napoleons letters to josephine 17961812,emperor of the french napoleon i,https://www.gutenberg.org/ebooks/37499,Free kindle book and epub digitized and proofread by volunteers.,[],,,,,,,,napoleons letters to josephine 17961812emperor of the french napoleon i,,,-2749445341423427737
